accuracy:
Train: 0.9981874617375183
Test: 0.82625
Layer sizes:
[16, 8, 1]
Weights table:
Src layer , src neuron , dest layer , dest neuron , weight value
1 , 16 , 2 , 6 , 0.625480744153314
1 , 16 , 2 , 7 , -0.26273259322987674
1 , 16 , 2 , 8 , 0.13287800077103593
2 , 1 , 3 , 1 , 0.5467700516056465
2 , 2 , 3 , 1 , -0.12631245065580035
2 , 3 , 3 , 1 , 0.49672592933092596
2 , 4 , 3 , 1 , 0.19869617600351264
2 , 5 , 3 , 1 , 0.06873357652994527
2 , 6 , 3 , 1 , -0.9737878719733539
2 , 7 , 3 , 1 , -0.4475903409119771
2 , 8 , 3 , 1 , 0.34014978422557407

Network:
[array([[-0.43404027,  0.69723714, -0.31794337,  0.10001747,  0.02746813,
        -0.01509896, -0.2331258 , -0.24731675],
       [-0.57950263,  0.3039446 ,  0.02711354, -0.40176415,  0.36611144,
         0.27394597, -0.15134832, -0.22157599],
       [-0.24845989,  0.48416719,  0.3895129 , -0.39807497,  0.0735306 ,
         0.57541918, -0.35638371,  0.02328057],
       [ 0.23810059, -0.55119636, -0.03487185, -0.04624581,  0.21654464,
         0.62307874,  0.30813587, -0.08484704],
       [-0.24996436,  0.36467564,  0.21671362,  0.56028552, -0.11783589,
         0.06312766,  0.22139436, -0.20644646],
       [ 0.14430045, -0.61963951, -0.18300335, -0.43913522,  0.21684542,
         0.22036896,  0.21168136,  0.14722339],
       [-0.2931901 ,  0.14847011, -0.09175521, -0.28026006, -0.273646  ,
         0.40191826, -0.44621318, -0.29956253],
       [-0.19864179, -0.33243144, -0.25153407,  0.06284545,  0.28894933,
        -0.06899543,  0.47171103,  0.28194722],
       [-0.40241434,  0.35914641,  0.28756714,  0.33326551,  0.02883281,
         0.44364155,  0.19283312, -0.21391356],
       [-0.4110094 , -0.81133228, -0.14978703, -0.56494246, -0.35037998,
         0.36994393,  0.00214572,  0.01372174],
       [ 0.17147724, -0.03320056, -0.15462383,  0.01937061,  0.12966318,
        -0.00867239,  0.29050558, -0.36034516],
       [ 0.22045952, -0.50322421, -0.15794631,  0.07093774, -0.32729357,
         0.17684754,  0.68284912, -0.19137078],
       [ 0.0334932 , -0.18921874,  0.36442646,  0.41860425, -0.1051845 ,
         0.39780264,  0.81932507, -0.20661203],
       [-0.25087319,  0.49648894, -0.18936359,  0.07178438,  0.35365203,
         0.53662054,  0.08567901, -0.54034846],
       [-0.03711496, -0.46658885,  0.1941285 ,  0.36092116, -0.04479097,
         0.52206837,  0.52732199,  0.21946573],
       [-0.37983156,  0.45040079, -0.15475403, -0.25830709, -0.4119725 ,
         0.62548074, -0.26273259,  0.132878  ]]), array([[ 0.54677005],
       [-0.12631245],
       [ 0.49672593],
       [ 0.19869618],
       [ 0.06873358],
       [-0.97378787],
       [-0.44759034],
       [ 0.34014978]])]
