accuracy:
Train: 0.9688683169032976
Test: 0.9915
Layer sizes:
[16, 8, 1]
Weights table:
Src layer , src neuron , dest layer , dest neuron , weight value
1 , 1 , 2 , 1 , -0.5516716364269802
1 , 1 , 2 , 2 , 0.6712004365290644
1 , 1 , 2 , 3 , -0.6139808691846987
1 , 1 , 2 , 4 , 0.1971551171894578
1 , 1 , 2 , 5 , 1.5907012750233376
1 , 1 , 2 , 6 , -0.7743359354524421
1 , 1 , 2 , 7 , -0.9660634334665956
1 , 1 , 2 , 8 , 0.7151570503984201
1 , 2 , 2 , 1 , -0.6445011731773299
1 , 2 , 2 , 2 , 0.6484082778695972
1 , 2 , 2 , 3 , -0.23957968259626222
1 , 2 , 2 , 4 , 0.7503404479815841
1 , 2 , 2 , 5 , -0.6418118179283246
1 , 2 , 2 , 6 , 0.43560339232209766
1 , 2 , 2 , 7 , 1.4867883654157663
1 , 2 , 2 , 8 , 1.1006933231886795
1 , 3 , 2 , 1 , 0.24227311650343247
1 , 3 , 2 , 2 , 0.9191006123361092
1 , 3 , 2 , 3 , -0.646768274472786
1 , 3 , 2 , 4 , 0.35365914395664244
1 , 3 , 2 , 5 , -1.4898884221671678
1 , 3 , 2 , 6 , 0.41979193495179024
1 , 3 , 2 , 7 , 0.2388641287692571
1 , 3 , 2 , 8 , 0.5152788002347193
1 , 4 , 2 , 1 , -0.03626961307609389
1 , 4 , 2 , 2 , 0.6381898766400853
1 , 4 , 2 , 3 , -1.5567081154135023
1 , 4 , 2 , 4 , -1.463178471669728
1 , 4 , 2 , 5 , -1.3683845578599594
1 , 4 , 2 , 6 , 0.11922338997590169
1 , 4 , 2 , 7 , -0.7896950132271566
1 , 4 , 2 , 8 , 0.18111957600873504
1 , 5 , 2 , 1 , -0.6216012808356381
1 , 5 , 2 , 2 , 0.6148422308072143
1 , 5 , 2 , 3 , -0.6969384714672866
1 , 5 , 2 , 4 , 1.601777849831507
1 , 5 , 2 , 5 , -1.1552732471866167
1 , 5 , 2 , 6 , 0.9740855154542751
1 , 5 , 2 , 7 , -0.21297870219258405
1 , 5 , 2 , 8 , 0.7522569469281207
1 , 6 , 2 , 1 , 1.1281947082930213
1 , 6 , 2 , 2 , 1.257581450983195
1 , 6 , 2 , 3 , 0.3444865871987305
1 , 6 , 2 , 4 , -1.002061891133617
1 , 6 , 2 , 5 , 0.3483250696958175
1 , 6 , 2 , 6 , -1.410863545181086
1 , 6 , 2 , 7 , 1.0263165007030468
1 , 6 , 2 , 8 , 0.9040459824657635
1 , 7 , 2 , 1 , -1.7692341597345347
1 , 7 , 2 , 2 , 0.40349062787262696
1 , 7 , 2 , 3 , -0.46556174574540243
1 , 7 , 2 , 4 , -0.7601423073063427
1 , 7 , 2 , 5 , -0.5524900670835114
1 , 7 , 2 , 6 , 0.035170160997398774
1 , 7 , 2 , 7 , -1.2180309613248135
1 , 7 , 2 , 8 , 0.9085962416380191
1 , 8 , 2 , 1 , 0.8001738224501653
1 , 8 , 2 , 2 , 0.9372752865222481
1 , 8 , 2 , 3 , -0.826443167161406
1 , 8 , 2 , 4 , 1.1070293936423479
1 , 8 , 2 , 5 , 1.0653262268571693
1 , 8 , 2 , 6 , -0.5381252412388097
1 , 8 , 2 , 7 , 1.2298391540130247
1 , 8 , 2 , 8 , 0.5658457388993634
1 , 9 , 2 , 1 , 0.005602106165500653
